gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
AGXT,0.00754976,2.7392E-06,0.002545404,8.55841E-07
AGXT2,0.006444487,6.10796E-07,0,0
AHCTF1,0.028449383,7.94096E-06,0,0
AHCY,0.004247879,8.77609E-07,0.000177413,1.19779E-08
AHCYL1,0.001319791,1.1239E-07,0,0
AHCYL2,0.003514141,5.40476E-07,0,0
AHDC1,0.022924763,6.55997E-06,0,0
AHI1,0.021173434,6.99111E-06,0.000416761,4.58533E-08
AHNAK,0.090395159,2.34812E-05,0,0
AHNAK2,0.284512153,0.000106639,0,0
AHR,0.010055067,2.20264E-06,0,0
AHRR,0.015816626,5.29843E-06,0,0
AHSA1,0.002900916,5.16122E-07,0,0
AHSA2,0.005996583,3.07632E-06,0,0
AHSG,0.004614972,1.06037E-06,0,0
AHSP,0.001068919,4.31717E-08,0.00004119,1.69662E-09
AICDA,0.002442987,1.19227E-06,0.000163762,1.5226E-08
AIDA,0.001750235,9.53502E-08,0,0
AIF1,0.003202616,7.76703E-07,0,0
AIF1L,0.003490088,1.02663E-06,0,0
AIFM1,0.003196415,4.06697E-07,0.000239431,4.24868E-08
AIFM2,0.007396402,1.25642E-06,0,0
AIFM3,0.011979468,2.17193E-06,0,0
AIG1,0.001696027,7.78574E-08,0,0
AIM1,0.029811807,8.11327E-06,0,0
AIM1L,0.029793811,1.0485E-05,0,0
AIM2,0.004098746,4.88794E-07,0,0
AIMP1,0.00454585,1.37329E-06,0,0
AIMP2,0.005979084,1.20487E-06,0,0
AIP,0.00416403,5.1505E-07,0.000666511,8.26869E-08
AIPL1,0.007198559,2.05231E-06,0.001460334,7.72604E-07
AIRE,0.01864382,6.21872E-06,0.00320992,1.78552E-06
AJAP1,0.007370814,1.9441E-06,0,0
AJUBA,0.005696731,9.01465E-07,0,0
AK1,0.004448197,1.18987E-06,0.000024796,3.41783E-10
AK2,0.008277903,3.0359E-06,0.000041185,7.4633E-10
AK3,0.003466982,3.18855E-07,0,0
AK4,0.002024361,1.87708E-07,0,0
AK5,0.003286455,1.92412E-07,0,0
AK7,0.00933354,1.82632E-06,0,0
AK8,0.009626154,3.27797E-06,0,0
AK9,0.031008144,8.91452E-06,0,0
AKAP1,0.012032797,3.23707E-06,0,0
AKAP10,0.005818411,1.15573E-06,0,0
AKAP11,0.025156768,8.71852E-06,0,0
AKAP12,0.020204343,4.043E-06,0,0
AKAP13,0.045869979,1.27049E-05,0,0
AKAP14,0.001373163,1.90665E-07,0,0
AKAP17A,0.02262919,6.18898E-06,0,0
AKAP2,0.019404252,5.3935E-06,0,0
AKAP3,0.01296356,3.67421E-06,0,0
AKAP4,0.009294695,3.04546E-06,0,0
AKAP5,0.004076977,1.38218E-06,0,0
